Title,Year,Rating
Mad Max: Fury Road,N/A,8.1
Gran Torino,N/A,8.1
Tonari no Totoro,N/A,8.1
Bacheha-ye aseman,N/A,8.2
Hacksaw Ridge,N/A,8.1
The Grand Budapest Hotel,N/A,8.1
12 Years a Slave,N/A,8.1
Before Sunrise,N/A,8.1
Blade Runner,N/A,8.1
Salinui chueok,N/A,8.1
Spider-Man: No Way Home,N/A,8.2
Ratatouille,N/A,8.1
How to Train Your Dragon,N/A,8.1
Gone Girl,N/A,8.1
"Monsters, Inc.",N/A,8.1
Jaws,N/A,8.1
In the Name of the Father,N/A,8.1
Ford v Ferrari,N/A,8.1
Relatos salvajes,N/A,8.1
The Gold Rush,N/A,8.1
Sherlock Jr.,N/A,8.1
Mary and Max.,N/A,8.1
The Deer Hunter,N/A,8.1
Le salaire de la peur,N/A,8.1
The General,N/A,8.1
Logan,N/A,8.1
Mr. Smith Goes to Washington,N/A,8.1
Rocky,N/A,8.1
On the Waterfront,N/A,8.1
Tôkyô monogatari,N/A,8.1
Smultronstället,N/A,8.1
Pirates of the Caribbean: The Curse of the Black Pearl,N/A,8.1
The Third Man,N/A,8.1
Spotlight,N/A,8.1
Jai Bhim,N/A,8.6
Maharaja,N/A,8.3
La haine,N/A,8.1
The Terminator,N/A,8.1
The Big Lebowski,N/A,8.1
The Sound of Music,N/A,8.1
Det sjunde inseglet,N/A,8.1
Room,N/A,8.1
The Best Years of Our Lives,N/A,8.1
Koe no Katachi,N/A,8.2
Hotel Rwanda,N/A,8.1
Platoon,N/A,8.1
Before Sunset,N/A,8.1
The Incredibles,N/A,8.0
The Exorcist,N/A,8.1
Hachi: A Dog&apos;s Tale,N/A,8.1
The Wizard of Oz,N/A,8.1
Rush,N/A,8.1
La passion de Jeanne d&apos;Arc,N/A,8.1
Stand by Me,N/A,8.1
The Iron Giant,N/A,8.1
Babam ve Oglum,N/A,8.2
La battaglia di Algeri,N/A,8.1
Ah-ga-ssi,N/A,8.1
Network,N/A,8.1
Gangs of Wasseypur,N/A,8.2
Gekijô-ban Kimetsu no Yaiba Mugen Ressha-hen,N/A,8.2
The Grapes of Wrath,N/A,8.1
Drishyam,N/A,8.2
To Be or Not to Be,N/A,8.1
Höstsonaten,N/A,8.1
Andhadhun,N/A,8.2
